specialization,sub_specialization,years_of_experience,location,area,hourly_rate,success_rate,cases_handled,court_experience,languages_spoken,case_type,case_subtype,case_urgency,case_complexity,label_lawyer_id,match_score
Family Law,Adoption,17,Lahore,DHA,13797,83%,208,District Court,"Sindhi (Basic), Pashto (Conversational)",Family Law,Adoption,High,Simple,121,0.99
Family Law,Adoption,17,Lahore,DHA,13797,83%,208,District Court,"Sindhi (Basic), Pashto (Conversational)",Family Law,Child Custody,Medium,Simple,121,0.83
Family Law,Adoption,17,Lahore,DHA,13797,83%,208,District Court,"Sindhi (Basic), Pashto (Conversational)",Family Law,Adoption,Medium,Moderate,121,0.76
Family Law,Adoption,17,Lahore,DHA,13797,83%,208,District Court,"Sindhi (Basic), Pashto (Conversational)",Family Law,Adoption,High,Moderate,121,0.71
Family Law,Adoption,17,Lahore,DHA,13797,83%,208,District Court,"Sindhi (Basic), Pashto (Conversational)",Family Law,Child Custody,Low,Moderate,121,0.85
Family Law,Adoption,17,Lahore,DHA,13797,83%,208,District Court,"Sindhi (Basic), Pashto (Conversational)",Family Law,Child Custody,Low,Moderate,121,0.99
Family Law,Adoption,17,Lahore,DHA,13797,83%,208,District Court,"Sindhi (Basic), Pashto (Conversational)",Family Law,Adoption,Low,Simple,121,1.0
Family Law,Adoption,17,Lahore,DHA,13797,83%,208,District Court,"Sindhi (Basic), Pashto (Conversational)",Family Law,Adoption,High,Complex,121,0.76
Family Law,Adoption,17,Lahore,DHA,13797,83%,208,District Court,"Sindhi (Basic), Pashto (Conversational)",Family Law,Child Custody,High,Simple,121,0.77
Family Law,Adoption,17,Lahore,DHA,13797,83%,208,District Court,"Sindhi (Basic), Pashto (Conversational)",Family Law,Adoption,Medium,Complex,121,0.72
Family Law,Adoption,17,Lahore,DHA,13797,83%,208,District Court,"Sindhi (Basic), Pashto (Conversational)",Family Law,Adoption,Low,Moderate,121,0.99
Family Law,Adoption,17,Lahore,DHA,13797,83%,208,District Court,"Sindhi (Basic), Pashto (Conversational)",Family Law,Divorce,High,Simple,121,0.71
Family Law,Adoption,17,Lahore,DHA,13797,83%,208,District Court,"Sindhi (Basic), Pashto (Conversational)",Family Law,Divorce,Medium,Moderate,121,0.9
Family Law,Adoption,17,Lahore,DHA,13797,83%,208,District Court,"Sindhi (Basic), Pashto (Conversational)",Family Law,Child Custody,Low,Complex,121,1.0
Family Law,Adoption,17,Lahore,DHA,13797,83%,208,District Court,"Sindhi (Basic), Pashto (Conversational)",Family Law,Adoption,Low,Complex,121,0.86
Family Law,Adoption,17,Lahore,DHA,13797,83%,208,District Court,"Sindhi (Basic), Pashto (Conversational)",Family Law,Divorce,Low,Simple,121,0.89
Family Law,Adoption,17,Lahore,DHA,13797,83%,208,District Court,"Sindhi (Basic), Pashto (Conversational)",Family Law,Adoption,Medium,Complex,121,0.97
Family Law,Adoption,17,Lahore,DHA,13797,83%,208,District Court,"Sindhi (Basic), Pashto (Conversational)",Family Law,Divorce,Low,Complex,121,0.91
Family Law,Adoption,17,Lahore,DHA,13797,83%,208,District Court,"Sindhi (Basic), Pashto (Conversational)",Family Law,Adoption,Medium,Complex,121,0.76
Family Law,Adoption,17,Lahore,DHA,13797,83%,208,District Court,"Sindhi (Basic), Pashto (Conversational)",Family Law,Child Custody,High,Simple,121,0.73
Property Law,Rental Issues,12,Quetta,Jinnah Town,13383,75%,167,"Special Tribunals, Session Court","English (Fluent), Urdu (Native)",Property Law,Rental Issues,Low,Moderate,122,0.83
Property Law,Rental Issues,12,Quetta,Jinnah Town,13383,75%,167,"Special Tribunals, Session Court","English (Fluent), Urdu (Native)",Property Law,Land Disputes,Medium,Complex,122,0.96
Property Law,Rental Issues,12,Quetta,Jinnah Town,13383,75%,167,"Special Tribunals, Session Court","English (Fluent), Urdu (Native)",Property Law,Rental Issues,High,Moderate,122,0.82
Property Law,Rental Issues,12,Quetta,Jinnah Town,13383,75%,167,"Special Tribunals, Session Court","English (Fluent), Urdu (Native)",Property Law,Land Disputes,Medium,Complex,122,0.91
Property Law,Rental Issues,12,Quetta,Jinnah Town,13383,75%,167,"Special Tribunals, Session Court","English (Fluent), Urdu (Native)",Property Law,Rental Issues,Low,Moderate,122,0.7
Property Law,Rental Issues,12,Quetta,Jinnah Town,13383,75%,167,"Special Tribunals, Session Court","English (Fluent), Urdu (Native)",Property Law,Land Disputes,High,Simple,122,0.89
Property Law,Rental Issues,12,Quetta,Jinnah Town,13383,75%,167,"Special Tribunals, Session Court","English (Fluent), Urdu (Native)",Property Law,Land Disputes,Medium,Complex,122,0.92
Property Law,Rental Issues,12,Quetta,Jinnah Town,13383,75%,167,"Special Tribunals, Session Court","English (Fluent), Urdu (Native)",Property Law,Land Disputes,Medium,Simple,122,0.72
Property Law,Rental Issues,12,Quetta,Jinnah Town,13383,75%,167,"Special Tribunals, Session Court","English (Fluent), Urdu (Native)",Property Law,Rental Issues,Low,Simple,122,0.81
